id_escola,media_adm_escola,tipo_escola,schgend_boys,schgend_girls,schgend_mixed
1,0.1661752,0,0,0,1
2,0.3951492,1,0,1,0
3,0.5141552,0,0,0,1
4,0.0917642,0,0,0,1
5,0.2105252,0,0,0,1
6,0.6376562,1,0,1,0
7,-0.029003,1,0,1,0
8,-0.040532,1,0,1,0
9,-0.494304,0,0,0,1
10,0.1892722,0,0,0,1
11,0.6350562,1,1,0,0
12,-0.00874,0,0,0,1
13,-0.149341,0,0,0,1
14,0.3264402,0,0,0,1
15,0.2702882,0,0,0,1
16,0.3232042,1,0,1,0
17,-0.118244,0,0,0,1
18,0.1424362,1,0,1,0
19,0.3846302,0,0,0,1
20,0.4410412,0,0,0,1
21,0.2012732,1,0,1,0
22,-0.062356,0,0,0,1
23,-0.254685,0,0,0,1
24,-0.415201,1,1,0,0
25,-0.649018,1,0,1,0
26,-0.654875,0,0,0,1
27,-0.635548,1,1,0,0
28,-0.353908,0,0,0,1
29,-0.351834,1,0,1,0
30,0.2687752,1,0,1,0
31,-0.490832,1,0,1,0
32,-0.650231,0,0,0,1
33,0.0759212,0,0,0,1
34,-0.360043,0,0,0,1
35,-0.120454,1,0,1,0
36,-0.096466,1,1,0,0
37,-0.755961,1,1,0,0
38,-0.212047,0,0,0,1
39,-0.197124,1,0,1,0
40,-0.01305,1,1,0,0
41,-0.288729,1,0,1,0
42,-0.146179,0,0,0,1
43,0.4334322,0,0,0,1
44,-0.241656,1,1,0,0
45,-0.187182,0,0,0,1
46,-0.143724,0,0,0,1
47,-0.139923,0,0,0,1
48,-0.414084,1,0,1,0
49,-0.001192,1,0,1,0
50,0.0065332,0,0,0,1
51,-0.396984,0,0,0,1
52,0.1963172,1,1,0,0
53,0.3805512,1,0,1,0
54,0.5880652,0,0,0,1
55,0.2673852,0,0,0,1
56,-0.085653,0,0,0,1
57,-0.064455,1,1,0,0
58,0.2102702,1,0,1,0
59,-0.545095,0,0,0,1
60,-0.088644,1,0,1,0
61,-0.020198,0,0,0,1
62,0.1673862,0,0,0,1
63,0.1562112,0,0,0,1
64,0.4341442,1,1,0,0
65,-0.23535,1,0,1,0
